bot,method,coin,avg_cost,exit_price,pnl_pct,pnl_usdt,dca_count,invested,hold_hrs,exit_reason,btc_regime,btc_24h_change,btc_dominance,market_age_days,opened_at,exit_time,category
E39-3,E39,SOLAXY,0.000031670000000000,0.000032380000000000,2.24186928000000000000,2.24186928,0.0,100.00000000,156.0586038736111111,tp,,0.1405,56.46,,2026-06-16 05:13:13.633933,2026-06-22 17:16:44.607878,micro
E39-2,E39,SOLAXY,0.000031670000000000,0.000032380000000000,2.24186928000000000000,2.24186928,0.0,100.00000000,156.0587207825000000,tp,,0.1405,56.46,,2026-06-16 05:13:13.208117,2026-06-22 17:16:44.602934,micro
E39-1,E39,LOL,0.001027000000000000,0.001050000000000000,2.23953262000000000000,2.23953262,0.0,100.00000000,9.4361289369444444,tp,,,,,2026-06-10 08:34:45.793510,2026-06-10 18:00:55.857683,micro
E39-2,E39,LOL,0.001027000000000000,0.001050000000000000,2.23953262000000000000,2.23953262,0.0,100.00000000,9.7198673791666667,tp,,,,,2026-06-10 08:17:45.324244,2026-06-10 18:00:56.846809,micro
E39-5,E39,ANT,0.000038635000000000,0.000039500000000000,2.23890255000000000000,2.23890255,0.0,100.00000000,3.3728042063888889,tp,,0.1405,56.56,,2026-06-15 12:08:51.792318,2026-06-15 15:31:13.887461,micro
E39-2,E39,ANT,0.000038635000000000,0.000039500000000000,2.23890255000000000000,2.23890255,0.0,100.00000000,3.3729083483333333,tp,,0.1405,56.56,,2026-06-15 12:08:51.414319,2026-06-15 15:31:13.884373,micro
E39-1,E39,ANT,0.000038635000000000,0.000039500000000000,2.23890255000000000000,2.23890255,0.0,100.00000000,3.3729247425000000,tp,,0.1405,56.56,,2026-06-15 12:08:51.351852,2026-06-15 15:31:13.880925,micro
E39-5,E39,LVVA,0.000331200000000000,0.000338600000000000,2.23429952000000000000,2.23429952,0.0,100.00000000,4.3631732752777778,tp,,0.1405,56.62,,2026-06-14 10:09:21.899602,2026-06-14 14:31:09.323393,micro
E39-4,E39,LVVA,0.000331200000000000,0.000338600000000000,2.23429952000000000000,2.23429952,0.0,100.00000000,4.3631957005555556,tp,,0.1405,56.62,,2026-06-14 10:09:21.815816,2026-06-14 14:31:09.320338,micro
E39-3,E39,LVVA,0.000331200000000000,0.000338600000000000,2.23429952000000000000,2.23429952,0.0,100.00000000,4.3632495647222222,tp,,0.1405,56.62,,2026-06-14 10:09:21.618874,2026-06-14 14:31:09.317307,micro
E39-2,E39,LVVA,0.000331200000000000,0.000338600000000000,2.23429952000000000000,2.23429952,0.0,100.00000000,4.3633267400000000,tp,,0.1405,56.62,,2026-06-14 10:09:21.337959,2026-06-14 14:31:09.314223,micro
E39-1,E39,LVVA,0.000331200000000000,0.000338600000000000,2.23429952000000000000,2.23429952,0.0,100.00000000,4.3633456877777778,tp,,0.1405,56.62,,2026-06-14 10:09:21.191275,2026-06-14 14:31:09.235751,micro
E39-3,E39,JAM,0.000009880000000000,0.000010100000000000,2.22672065000000000000,2.22672065,0.0,100.00000000,0.59318811027777777778,tp,,0.1405,56.27,,2026-06-16 23:00:53.930085,2026-06-16 23:36:29.407282,micro
