name,trigger_pct,window_sec,hold_sec,closed,win_rate,avg_pnl,total_pnl,median_pnl,std_dev
E58v2-118,8.0,1.5,moonshot,5,-260.0,7.0,0.0,-444.762,213.58
E58v2-113,14.0,2.0,loose,4,-300.0,7.0,0.0,230.943,246.88
E58v2-114,12.0,2.0,loose,4,-300.0,7.0,0.0,221.638,246.88
E58v2-115,14.0,1.8,loose,4,-325.0,7.0,0.0,218.239,246.88
E58v2-95,10.0,1.6,loose,4,-325.0,7.0,0.0,56.837,246.88
