name,trigger_pct,window_sec,hold_sec,closed,win_rate,avg_pnl,total_pnl,median_pnl,std_dev
E58-104,10.0,5.0,1.0,11665,1.6,-7.708,-89916.5052,0.0,22.773
E58-32,20.0,10.0,1.0,6373,2.1,-14.133,-90071.5225,0.0,29.599
E58-112,10.0,3.0,1.0,11569,1.7,-7.812,-90378.2754,0.0,22.829
E58-40,20.0,5.0,1.0,6167,1.6,-14.763,-91041.0612,0.0,29.992
E58-48,20.0,3.0,1.0,6051,1.6,-15.104,-91395.3011,0.0,30.19
