bot_name,method,params,position_id,coin,category,status,direction,entry_price,exit_price,quantity,total_invested_usd,total_sold_usd,pnl_usd,pnl_pct,is_clean_win,dca_count,entry_time,exit_time,hold_hours,tp_armed,peak_price,last_buy_price,pos_tp_pct,pos_dca_pct,pos_trail_pct,is_paper,sequence_number,coin_trade_number,btc_price_at_entry,btc_sma50_at_entry,btc_24h_change_pct,btc_regime,btc_dominance
E2-7,E2,"{""bb_sigma"": 2.0, ""vol_mult"": 2.0, ""recovery_pct"": 1.0}",20,JAM,micro,closed,long,0.000009770000000000,0.000009480000000000,10235414.53428864,100.00000000,97.03172979,-2.9683,-2.97,0,0,2026-06-10 08:09:54.341397,2026-06-10 10:03:29.124759,1.89,True,0.000010260000000000,0.000009770000000000,8.00,15.00,3.00,True,1,1,,,,,
E2-7,E2,"{""bb_sigma"": 2.0, ""vol_mult"": 2.0, ""recovery_pct"": 1.0}",308,GENIUS,small,closed,long,0.453040000000000000,0.472310000000000000,220.73106127,100.00000000,104.25348755,4.2535,4.25,1,0,2026-06-10 08:12:10.624797,2026-06-10 09:22:24.100828,1.17,True,0.483000000000000000,0.453040000000000000,5.00,10.00,2.20,True,1,1,,,,,
E2-7,E2,"{""bb_sigma"": 2.0, ""vol_mult"": 2.0, ""recovery_pct"": 1.0}",6127,SOH,micro,closed,long,0.001755000000000000,0.001997000000000000,56980.05698006,100.00000000,113.78917379,13.7892,13.79,1,0,2026-06-10 09:22:35.471224,2026-06-10 18:50:14.395479,9.46,True,0.002498000000000000,0.001755000000000000,5.00,1.40,2.00,True,1,1,,,,,
E2-7,E2,"{""bb_sigma"": 2.0, ""vol_mult"": 2.0, ""recovery_pct"": 1.0}",6370,BELLS,micro,closed,long,0.046770000000000000,0.050850000000000000,2138.12272824,100.00000000,108.72354073,8.7235,8.72,1,0,2026-06-10 09:25:12.241371,2026-06-12 11:01:02.681312,49.60,True,0.052430000000000000,0.046770000000000000,5.00,1.40,2.00,True,1,1,,,,,
E2-7,E2,"{""bb_sigma"": 2.0, ""vol_mult"": 2.0, ""recovery_pct"": 1.0}",9334,TNK,micro,open,long,0.142540000000000000,,701.55745756,100.00000000,0E-8,-100.0000,-100.00,0,0,2026-06-10 10:15:34.424279,,125.68,True,0.151530000000000000,0.142540000000000000,8.00,15.00,7.70,True,1,1,,,,,
E2-7,E2,"{""bb_sigma"": 2.0, ""vol_mult"": 2.0, ""recovery_pct"": 1.0}",12432,NEET,micro,closed,long,0.023140000000000000,0.026410000000000000,4321.52117545,100.00000000,114.13137424,14.1314,14.13,1,0,2026-06-10 11:05:47.725807,2026-06-11 07:03:35.053087,19.96,True,0.027430000000000000,0.023140000000000000,8.00,15.00,3.60,True,1,1,,,,,
E2-7,E2,"{""bb_sigma"": 2.0, ""vol_mult"": 2.0, ""recovery_pct"": 1.0}",16702,DEUS,micro,closed,long,0.033890000000000000,0.034060000000000000,2950.72292712,100.00000000,100.50162290,0.5016,0.50,1,0,2026-06-10 12:10:00.491997,2026-06-11 00:45:27.936754,12.59,True,0.036330000000000000,0.033890000000000000,8.00,15.00,6.20,True,1,1,,,,,
E2-7,E2,"{""bb_sigma"": 2.0, ""vol_mult"": 2.0, ""recovery_pct"": 1.0}",17201,CLGO,micro,open,long,0.009640000000000000,,10373.44398340,100.00000000,0E-8,-100.0000,-100.00,0,0,2026-06-10 12:15:32.644882,,123.68,True,0.010490000000000000,0.009640000000000000,8.00,15.00,3.00,True,1,1,,,,,
E2-7,E2,"{""bb_sigma"": 2.0, ""vol_mult"": 2.0, ""recovery_pct"": 1.0}",19325,SYMM,micro,closed,long,0.042500000000000000,0.045300000000000000,2352.94117647,100.00000000,106.58823529,6.5882,6.59,1,0,2026-06-10 12:40:25.845016,2026-06-11 02:04:53.892972,13.41,True,0.049900000000000000,0.042500000000000000,5.00,1.40,2.00,True,1,1,,,,,
E2-7,E2,"{""bb_sigma"": 2.0, ""vol_mult"": 2.0, ""recovery_pct"": 1.0}",20861,VVV,small,closed,long,13.971800000000000000,15.051800000000000000,7.15727394,100.00000000,107.72985589,7.7299,7.73,1,0,2026-06-10 13:09:58.896105,2026-06-12 04:14:41.733706,39.08,True,15.408400000000000000,13.971800000000000000,5.00,10.00,2.30,True,1,1,,,,,
E2-7,E2,"{""bb_sigma"": 2.0, ""vol_mult"": 2.0, ""recovery_pct"": 1.0}",21148,ENA,small,closed,long,0.078890000000000000,0.084590000000000000,1267.58778045,100.00000000,107.22525035,7.2253,7.23,1,0,2026-06-10 13:12:59.329480,2026-06-13 16:05:09.925028,74.87,True,0.086590000000000000,0.078890000000000000,5.00,10.00,2.00,True,1,1,,,,,
E2-7,E2,"{""bb_sigma"": 2.0, ""vol_mult"": 2.0, ""recovery_pct"": 1.0}",21454,EUL,micro,closed,long,0.858200000000000000,0.891100000000000000,116.52295502,100.00000000,103.83360522,3.8336,3.83,1,0,2026-06-10 13:15:55.775224,2026-06-12 13:42:16.731448,48.44,True,0.919200000000000000,0.858200000000000000,8.00,15.00,3.00,True,1,1,,,,,
E2-7,E2,"{""bb_sigma"": 2.0, ""vol_mult"": 2.0, ""recovery_pct"": 1.0}",21728,GITLAWB,micro,closed,long,0.000091140000000000,0.000100420000000000,1097213.07877990,100.00000000,110.18213737,10.1821,10.18,1,0,2026-06-10 13:18:47.528254,2026-06-10 20:22:50.831948,7.07,True,0.000109190000000000,0.000091140000000000,8.00,15.00,8.00,True,1,1,,,,,
E2-7,E2,"{""bb_sigma"": 2.0, ""vol_mult"": 2.0, ""recovery_pct"": 1.0}",22011,PLUME,micro,closed,long,0.010154000000000000,0.010626000000000000,9848.33563128,100.00000000,104.64841442,4.6484,4.65,1,0,2026-06-10 13:21:32.008083,2026-06-13 17:07:32.594110,75.77,True,0.010960000000000000,0.010154000000000000,8.00,15.00,3.00,True,1,1,,,,,
E2-7,E2,"{""bb_sigma"": 2.0, ""vol_mult"": 2.0, ""recovery_pct"": 1.0}",22270,METIS,micro,closed,long,2.482000000000000000,2.744000000000000000,40.29008864,100.00000000,110.55600323,10.5560,10.56,1,0,2026-06-10 13:24:27.013645,2026-06-13 16:12:01.740499,74.79,True,2.838000000000000000,2.482000000000000000,8.00,15.00,3.00,True,1,1,,,,,
E2-7,E2,"{""bb_sigma"": 2.0, ""vol_mult"": 2.0, ""recovery_pct"": 1.0}",22526,VIC,micro,closed,long,0.036070000000000000,0.037530000000000000,2772.38702523,100.00000000,104.04768506,4.0477,4.05,1,0,2026-06-10 13:27:21.411212,2026-06-12 06:10:20.737872,40.72,True,0.040230000000000000,0.036070000000000000,8.00,15.00,3.00,True,1,1,,,,,
E2-7,E2,"{""bb_sigma"": 2.0, ""vol_mult"": 2.0, ""recovery_pct"": 1.0}",22779,RENDER,small,closed,long,1.588000000000000000,1.633000000000000000,62.97229219,100.00000000,102.83375315,2.8338,2.83,1,0,2026-06-10 13:30:24.717098,2026-06-11 23:07:03.785205,33.61,True,1.671000000000000000,1.588000000000000000,5.00,10.00,2.00,True,1,1,,,,,
