name,trigger_pct,window_sec,hold_sec,closed,win_rate,avg_pnl,total_pnl,median_pnl,std_dev
E58-10,15.0,10.0,60.0,276,39.5,5.869,1619.757,0.0,29.67
E58-57,15.0,10.0,50.0,277,36.5,5.7,1578.9835,0.0,30.645
E58-65,15.0,5.0,50.0,258,35.7,6.104,1574.9005,0.0,31.402
E58-73,15.0,3.0,50.0,249,36.1,6.232,1551.7,0.0,32.246
E58-81,15.0,1.0,50.0,237,36.3,5.995,1420.7838,0.0,27.205
