bot_name,method,params,position_id,coin,category,status,direction,entry_price,exit_price,quantity,total_invested_usd,total_sold_usd,pnl_usd,pnl_pct,dca_count,entry_time,exit_time,hold_hours,tp_armed,peak_price,last_buy_price,pos_tp_pct,pos_dca_pct,pos_trail_pct,is_paper,sequence_number,coin_trade_number
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",237,GUA,micro,closed,long,0.860000000000000000,0.886120000000000000,116.27906977,100.00000000,103.03720930,3.0372,3.04,0,2026-06-10 08:10:41.997936,2026-06-10 10:36:45.681181,2.43,True,0.941580000000000000,0.860000000000000000,8.00,15.00,5.20,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",508,PITCH,micro,closed,long,1.086000000000000000,1.128000000000000000,92.08103131,100.00000000,103.86740332,3.8674,3.87,0,2026-06-10 08:13:01.352407,2026-06-10 15:42:17.423681,7.49,True,1.229000000000000000,1.086000000000000000,8.00,15.00,8.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",752,JCT,micro,closed,long,0.006004000000000000,0.006157000000000000,16655.56295803,100.00000000,102.54830113,2.5483,2.55,0,2026-06-10 08:15:27.037411,2026-06-10 13:01:50.524713,4.77,True,0.006404000000000000,0.006004000000000000,8.00,15.00,3.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",1003,PLAY,micro,closed,long,0.055472751730397190,0.056000000000000000,5408.06054580,300.00000000,302.85139056,2.8514,0.95,2,2026-06-10 08:17:38.633553,2026-06-10 23:52:22.932746,15.58,True,0.088550000000000000,0.042850000000000000,8.00,15.00,8.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",1247,TRVL,micro,open,long,0.000804600000000000,,124285.35918469,100.00000000,0E-8,-100.0000,-100.00,0,2026-06-10 08:20:03.286766,,38.86,True,0.000868700000000000,0.000804600000000000,8.00,15.00,3.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",1482,ES,micro,open,long,0.033030000000000000,,3027.55071147,100.00000000,0E-8,-100.0000,-100.00,0,2026-06-10 08:22:27.629410,,38.82,False,,0.033030000000000000,8.00,15.00,3.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",1709,AWF,micro,closed,long,0.001309000000000000,0.001468000000000000,76394.19404125,100.00000000,112.14667685,12.1467,12.15,0,2026-06-10 08:24:52.901636,2026-06-10 20:06:27.025127,11.69,True,0.001561000000000000,0.001309000000000000,8.00,15.00,5.90,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",1934,XEN,micro,closed,long,4.587000000E-9,4.810000000E-9,21800741225.20165600,100.00000000,104.86156529,4.8616,4.86,0,2026-06-10 08:27:16.578157,2026-06-10 21:02:42.873223,12.59,True,4.960000000E-9,4.587000000E-9,20.00,15.00,3.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",2159,UBOX,micro,closed,long,0.000326378741759381,0.000322000000000000,919177.51255127,300.00000000,295.97515904,-4.0248,-1.34,2,2026-06-10 08:29:41.512716,2026-06-10 11:52:42.239655,3.38,True,0.000355000000000000,0.000295000000000000,8.00,15.00,8.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",2384,B,small,open,long,0.240230000000000000,,416.26774341,100.00000000,0E-8,-100.0000,-100.00,0,2026-06-10 08:32:11.115629,,38.66,False,,0.240230000000000000,5.00,10.00,2.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",2609,PHB,micro,closed,long,0.004398000000000000,0.004420000000000000,22737.60800364,100.00000000,100.50022738,0.5002,0.50,0,2026-06-10 08:34:37.465242,2026-06-10 09:01:58.984206,0.46,True,0.004635000000000000,0.004398000000000000,8.00,15.00,4.10,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",2847,FORM,micro,open,long,0.227100000000000000,,440.33465434,100.00000000,0E-8,-100.0000,-100.00,0,2026-06-10 08:37:06.553186,,38.57,False,,0.227100000000000000,8.00,15.00,3.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",3071,LFI,micro,closed,long,0.000093510000000000,0.000103280000000000,1069404.34178163,100.00000000,110.44808042,10.4481,10.45,0,2026-06-10 08:39:38.294407,2026-06-10 16:59:46.706461,8.34,True,0.000107660000000000,0.000093510000000000,8.00,15.00,3.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",3295,PLB,micro,open,long,0.507900000000000000,,196.88915141,100.00000000,0E-8,-100.0000,-100.00,0,2026-06-10 08:42:15.395653,,38.49,False,,0.507900000000000000,8.00,15.00,3.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",3511,BOS,micro,closed,long,0.000067000000000000,0.000068000000000000,1492537.31343284,100.00000000,101.49253731,1.4925,1.49,0,2026-06-10 08:44:47.449252,2026-06-10 10:07:19.914893,1.38,True,0.000071000000000000,0.000067000000000000,8.00,15.00,3.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",3714,SENS,micro,closed,long,0.000670000000000000,0.001000000000000000,149253.73134328,100.00000000,149.25373134,49.2537,49.25,0,2026-06-10 08:47:32.061369,2026-06-10 11:43:44.246694,2.94,True,0.001090000000000000,0.000670000000000000,8.00,15.00,8.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",3915,ATWO,micro,closed,long,0.001580000000000000,0.001630000000000000,63291.13924051,100.00000000,103.16455696,3.1646,3.16,0,2026-06-10 08:50:21.542295,2026-06-10 11:29:54.706157,2.66,True,0.001690000000000000,0.001580000000000000,5.00,1.00,2.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",4113,GACHA,micro,closed,long,0.000240071458246779,0.000240000000000000,833085.28827451,200.00000000,199.94046919,-0.0595,-0.03,1,2026-06-10 08:53:32.797452,2026-06-10 12:23:20.922880,3.50,True,0.000273900000000000,0.000228400000000000,8.00,15.00,8.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",4302,WALLI,micro,closed,long,0.000597088531120339,0.000768900000000000,334958.70306658,200.00000000,257.54974679,57.5497,28.77,1,2026-06-10 08:57:00.051824,2026-06-11 09:44:47.448024,24.80,True,0.000849900000000000,0.000545400000000000,8.00,15.00,8.00,True,1,1
