bot_name,method,params,position_id,coin,category,status,direction,entry_price,exit_price,quantity,total_invested_usd,total_sold_usd,pnl_usd,pnl_pct,is_clean_win,dca_count,entry_time,exit_time,hold_hours,tp_armed,peak_price,last_buy_price,pos_tp_pct,pos_dca_pct,pos_trail_pct,is_paper,sequence_number,coin_trade_number
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",237,GUA,micro,closed,long,0.860000000000000000,0.886120000000000000,116.27906977,100.00000000,103.03720930,3.0372,3.04,1,0,2026-06-10 08:10:41.997936,2026-06-10 10:36:45.681181,2.43,True,0.941580000000000000,0.860000000000000000,8.00,15.00,5.20,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",508,PITCH,micro,closed,long,1.086000000000000000,1.128000000000000000,92.08103131,100.00000000,103.86740332,3.8674,3.87,1,0,2026-06-10 08:13:01.352407,2026-06-10 15:42:17.423681,7.49,True,1.229000000000000000,1.086000000000000000,8.00,15.00,8.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",752,JCT,micro,closed,long,0.006004000000000000,0.006157000000000000,16655.56295803,100.00000000,102.54830113,2.5483,2.55,1,0,2026-06-10 08:15:27.037411,2026-06-10 13:01:50.524713,4.77,True,0.006404000000000000,0.006004000000000000,8.00,15.00,3.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",1003,PLAY,micro,closed,long,0.055472751730397190,0.056000000000000000,5408.06054580,300.00000000,302.85139056,2.8514,0.95,0,2,2026-06-10 08:17:38.633553,2026-06-10 23:52:22.932746,15.58,True,0.088550000000000000,0.042850000000000000,8.00,15.00,8.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",1247,TRVL,micro,open,long,0.000804600000000000,,124285.35918469,100.00000000,0E-8,-100.0000,-100.00,0,0,2026-06-10 08:20:03.286766,,57.27,True,0.000873400000000000,0.000804600000000000,8.00,15.00,3.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",1482,ES,micro,open,long,0.033030000000000000,,3027.55071147,100.00000000,0E-8,-100.0000,-100.00,0,0,2026-06-10 08:22:27.629410,,57.23,False,,0.033030000000000000,8.00,15.00,3.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",1709,AWF,micro,closed,long,0.001309000000000000,0.001468000000000000,76394.19404125,100.00000000,112.14667685,12.1467,12.15,1,0,2026-06-10 08:24:52.901636,2026-06-10 20:06:27.025127,11.69,True,0.001561000000000000,0.001309000000000000,8.00,15.00,5.90,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",1934,XEN,micro,closed,long,4.587000000E-9,4.810000000E-9,21800741225.20165600,100.00000000,104.86156529,4.8616,4.86,1,0,2026-06-10 08:27:16.578157,2026-06-10 21:02:42.873223,12.59,True,4.960000000E-9,4.587000000E-9,20.00,15.00,3.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",2159,UBOX,micro,closed,long,0.000326378741759381,0.000322000000000000,919177.51255127,300.00000000,295.97515904,-4.0248,-1.34,0,2,2026-06-10 08:29:41.512716,2026-06-10 11:52:42.239655,3.38,True,0.000355000000000000,0.000295000000000000,8.00,15.00,8.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",2384,B,small,open,long,0.240230000000000000,,416.26774341,100.00000000,0E-8,-100.0000,-100.00,0,0,2026-06-10 08:32:11.115629,,57.07,False,,0.240230000000000000,5.00,10.00,2.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",2609,PHB,micro,closed,long,0.004398000000000000,0.004420000000000000,22737.60800364,100.00000000,100.50022738,0.5002,0.50,1,0,2026-06-10 08:34:37.465242,2026-06-10 09:01:58.984206,0.46,True,0.004635000000000000,0.004398000000000000,8.00,15.00,4.10,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",2847,FORM,micro,closed,long,0.227100000000000000,0.232500000000000000,440.33465434,100.00000000,102.37780713,2.3778,2.38,1,0,2026-06-10 08:37:06.553186,2026-06-12 07:44:11.126138,47.12,True,0.239900000000000000,0.227100000000000000,8.00,15.00,3.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",3071,LFI,micro,closed,long,0.000093510000000000,0.000103280000000000,1069404.34178163,100.00000000,110.44808042,10.4481,10.45,1,0,2026-06-10 08:39:38.294407,2026-06-10 16:59:46.706461,8.34,True,0.000107660000000000,0.000093510000000000,8.00,15.00,3.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",3295,PLB,micro,open,long,0.507900000000000000,,196.88915141,100.00000000,0E-8,-100.0000,-100.00,0,0,2026-06-10 08:42:15.395653,,56.90,False,,0.507900000000000000,8.00,15.00,3.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",3511,BOS,micro,closed,long,0.000067000000000000,0.000068000000000000,1492537.31343284,100.00000000,101.49253731,1.4925,1.49,1,0,2026-06-10 08:44:47.449252,2026-06-10 10:07:19.914893,1.38,True,0.000071000000000000,0.000067000000000000,8.00,15.00,3.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",3714,SENS,micro,closed,long,0.000670000000000000,0.001000000000000000,149253.73134328,100.00000000,149.25373134,49.2537,49.25,1,0,2026-06-10 08:47:32.061369,2026-06-10 11:43:44.246694,2.94,True,0.001090000000000000,0.000670000000000000,8.00,15.00,8.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",3915,ATWO,micro,closed,long,0.001580000000000000,0.001630000000000000,63291.13924051,100.00000000,103.16455696,3.1646,3.16,1,0,2026-06-10 08:50:21.542295,2026-06-10 11:29:54.706157,2.66,True,0.001690000000000000,0.001580000000000000,5.00,1.00,2.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",4113,GACHA,micro,closed,long,0.000240071458246779,0.000240000000000000,833085.28827451,200.00000000,199.94046919,-0.0595,-0.03,0,1,2026-06-10 08:53:32.797452,2026-06-10 12:23:20.922880,3.50,True,0.000273900000000000,0.000228400000000000,8.00,15.00,8.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",4302,WALLI,micro,closed,long,0.000597088531120339,0.000768900000000000,334958.70306658,200.00000000,257.54974679,57.5497,28.77,0,1,2026-06-10 08:57:00.051824,2026-06-11 09:44:47.448024,24.80,True,0.000849900000000000,0.000545400000000000,8.00,15.00,8.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",4492,MLT,micro,closed,long,0.001299000000000000,0.001380000000000000,76982.29407236,100.00000000,106.23556582,6.2356,6.24,1,0,2026-06-10 09:00:35.748274,2026-06-10 11:55:46.091683,2.92,True,0.001459000000000000,0.001299000000000000,8.00,15.00,3.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",4671,STOS,micro,closed,long,0.007950000000000000,0.007800000000000000,12578.61635220,100.00000000,98.11320755,-1.8868,-1.89,0,0,2026-06-10 09:04:13.249974,2026-06-10 12:40:12.534918,3.60,True,0.008540000000000000,0.007950000000000000,8.00,15.00,3.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",4879,RBT,micro,closed,long,16.706056126912994000,70.000000000000000000,11.97170646,200.00000000,838.01945220,638.0195,319.01,0,1,2026-06-10 09:07:51.992427,2026-06-10 16:24:17.777457,7.27,True,73.700000000000000000,15.000000000000000000,5.00,1.00,2.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",5113,VRA,micro,closed,long,0.000006076000000000,0.000006748000000000,16458196.18169849,100.00000000,111.05990783,11.0599,11.06,1,0,2026-06-10 09:10:41.179405,2026-06-10 11:22:11.264430,2.19,True,0.000007750000000000,0.000006076000000000,8.00,15.00,3.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",5359,PHB,micro,closed,long,0.004417000000000000,0.004510000000000000,22639.80076975,100.00000000,102.10550147,2.1055,2.11,1,0,2026-06-10 09:13:15.774025,2026-06-10 18:17:20.240322,9.07,True,0.004780000000000000,0.004417000000000000,8.00,15.00,4.10,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",5593,DROPEE,micro,open,long,0.002707000000000000,,36941.26339121,100.00000000,0E-8,-100.0000,-100.00,0,0,2026-06-10 09:15:57.956047,,56.34,True,0.002877000000000000,0.002707000000000000,8.00,15.00,8.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",5844,ANT,micro,closed,long,0.000028802000000000,0.000029623000000000,3471981.11242275,100.00000000,102.85049649,2.8505,2.85,1,0,2026-06-10 09:18:26.340924,2026-06-10 09:31:22.775340,0.22,True,0.000030574000000000,0.000028802000000000,8.00,15.00,3.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",6082,PVT,micro,closed,long,0.000180000000000000,0.000209400000000000,555555.55555556,100.00000000,116.33333333,16.3333,16.33,1,0,2026-06-10 09:21:03.190434,2026-06-10 11:43:45.676688,2.38,True,0.000222500000000000,0.000180000000000000,8.00,15.00,3.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",6325,COQ,micro,closed,long,8.1870000000E-8,9.0110000000E-8,1221448638.08476850,100.00000000,110.06473678,10.0647,10.06,1,0,2026-06-10 09:23:39.673869,2026-06-10 10:25:32.677696,1.03,True,9.4010000000E-8,8.1870000000E-8,9.40,15.00,3.80,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",6564,BTW,small,closed,long,0.081851000000000000,0.083548000000000000,1221.73217187,100.00000000,102.07327950,2.0733,2.07,1,0,2026-06-10 09:26:35.488184,2026-06-10 10:03:28.847933,0.61,True,0.085957000000000000,0.081851000000000000,5.00,10.00,2.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",6765,XRPHAI,micro,closed,long,0.014690000000000000,0.016640000000000000,6807.35194010,100.00000000,113.27433628,13.2743,13.27,1,0,2026-06-10 09:30:02.055001,2026-06-10 22:05:42.864021,12.59,True,0.018340000000000000,0.014690000000000000,8.00,15.00,4.10,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",6956,RICH,micro,closed,long,0.000225400000000000,0.000232100000000000,443655.72315883,100.00000000,102.97249335,2.9725,2.97,1,0,2026-06-10 09:33:34.933766,2026-06-10 11:17:13.079655,1.73,True,0.000255700000000000,0.000225400000000000,8.00,15.00,8.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",7159,XYZ,micro,closed,long,0.000028280943732927,0.000032540000000000,10607849.68256625,300.00000000,345.17942867,45.1794,15.06,0,2,2026-06-10 09:37:08.886812,2026-06-10 16:09:06.398505,6.53,True,0.000034260000000000,0.000023810000000000,5.00,1.00,2.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",7344,CTR,micro,open,long,0.013380000000000000,,7473.84155456,100.00000000,0E-8,-100.0000,-100.00,0,0,2026-06-10 09:40:46.367811,,55.93,False,,0.013380000000000000,8.00,15.00,4.30,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",7727,XNT,micro,closed,long,0.310000000000000000,0.312000000000000000,322.58064516,100.00000000,100.64516129,0.6452,0.65,1,0,2026-06-10 09:47:57.773368,2026-06-10 15:24:57.267594,5.62,True,0.332000000000000000,0.310000000000000000,8.00,15.00,5.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",7902,ANT,micro,closed,long,0.000030418000000000,0.000031193000000000,3287527.12209876,100.00000000,102.54783352,2.5478,2.55,1,0,2026-06-10 09:51:39.995137,2026-06-11 10:08:19.471340,24.28,True,0.000032200000000000,0.000030418000000000,8.00,15.00,3.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",8575,BTW,small,closed,long,0.082804000000000000,0.086882000000000000,1207.67112700,100.00000000,104.92488286,4.9249,4.92,1,0,2026-06-10 10:05:55.279640,2026-06-10 11:59:19.084597,1.89,True,0.089317000000000000,0.082804000000000000,5.00,10.00,2.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",8790,ALKIMI,micro,closed,long,0.001173000000000000,0.001188000000000000,85251.49190111,100.00000000,101.27877238,1.2788,1.28,1,0,2026-06-10 10:08:50.861888,2026-06-10 20:04:26.614198,9.93,True,0.001250000000000000,0.001173000000000000,5.00,1.00,2.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",9017,SDEX,micro,open,long,0.000883000000000000,,113250.28312571,100.00000000,0E-8,-100.0000,-100.00,0,0,2026-06-10 10:11:31.182692,,55.41,False,,0.000883000000000000,8.00,15.00,3.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",9261,H,small,closed,long,0.167050000000000000,0.171660000000000000,598.62316672,100.00000000,102.75965280,2.7597,2.76,1,0,2026-06-10 10:14:05.934509,2026-06-10 10:39:49.866630,0.43,True,0.177550000000000000,0.167050000000000000,5.00,10.00,2.80,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",9523,QLINDO,micro,closed,long,0.000387122381477401,0.000560400000000000,516632.49031670,200.00000000,289.52084757,89.5208,44.76,0,1,2026-06-10 10:16:31.252787,2026-06-12 16:06:21.093684,53.83,True,0.000598700000000000,0.000280000000000000,5.00,1.00,2.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",9767,MUBI,micro,closed,long,0.000515600000000000,0.000549000000000000,193948.79751746,100.00000000,106.47788984,6.4779,6.48,1,0,2026-06-10 10:19:04.851423,2026-06-11 17:55:37.057874,31.61,True,0.000589400000000000,0.000515600000000000,8.00,15.00,3.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",10001,DIN,micro,closed,long,0.004371000000000000,0.005832000000000000,22878.05994052,100.00000000,133.42484557,33.4248,33.42,1,0,2026-06-10 10:21:36.182581,2026-06-10 23:34:50.633278,13.22,True,0.006014000000000000,0.004371000000000000,8.00,15.00,3.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",10222,BULL,micro,closed,long,0.001655000000000000,0.001779000000000000,60422.96072508,100.00000000,107.49244713,7.4924,7.49,1,0,2026-06-10 10:24:12.415013,2026-06-10 15:04:06.974483,4.67,True,0.001839000000000000,0.001655000000000000,8.00,15.00,3.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",10441,XT,micro,closed,long,0.007290000000000000,0.006610000000000000,13717.42112483,100.00000000,90.67215364,-9.3278,-9.33,0,0,2026-06-10 10:26:54.249506,2026-06-10 10:54:25.092786,0.46,True,0.008700000000000000,0.007290000000000000,8.00,15.00,8.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",10659,POLIS,micro,closed,long,0.010630000000000000,0.010890000000000000,9407.33772342,100.00000000,102.44590781,2.4459,2.45,1,0,2026-06-10 10:29:42.656113,2026-06-10 22:46:03.114912,12.27,True,0.011330000000000000,0.010630000000000000,5.00,1.00,2.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",10858,TARA,micro,closed,long,0.000015060000000000,0.000028290000000000,6640106.24169987,100.00000000,187.84860558,87.8486,87.85,1,0,2026-06-10 10:32:31.576317,2026-06-10 19:21:02.376199,8.81,True,0.000029250000000000,0.000015060000000000,8.00,15.00,3.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",11053,WELF,micro,open,long,0.095800000000000000,,1043.84133612,100.00000000,0E-8,-100.0000,-100.00,0,0,2026-06-10 10:35:24.465522,,55.02,False,,0.095800000000000000,8.00,15.00,3.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",11253,MOG,micro,open,long,1.05200000000E-7,,950570342.20532320,100.00000000,0E-8,-100.0000,-100.00,0,0,2026-06-10 10:38:28.161958,,54.97,True,1.11700000000E-7,1.05200000000E-7,8.00,15.00,3.00,True,1,1
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",11439,H,small,closed,long,0.175100000000000000,0.197470000000000000,571.10222730,100.00000000,112.77555682,12.7756,12.78,1,0,2026-06-10 10:41:36.559608,2026-06-10 15:55:32.233673,5.23,True,0.205230000000000000,0.175100000000000000,5.00,10.00,2.80,True,1,1
